userName,score,at,content
Akun Bisnis,5,2025-12-10 10:01:12,"Aplikasi PLN Mobile benar-benar membantu. Mulai dari beli token, cek tagihan, sampai lapor gangguan—semuanya mudah dan cepat. Pelayanan PLN juga semakin responsif. Good job!"
Muhammad Zaenuddin,5,2025-12-10 10:00:34,sangat membantu
Mas Andra998,5,2025-12-10 10:00:30,mantap betul aplikasinya
Mustopa,5,2025-12-10 10:00:06,selalu terdepan
Wasis Azis,5,2025-12-10 09:59:41,jooos jis
Anang Sujana,5,2025-12-10 09:58:50,aplikasi mudah digunakan
M Rudy Salam,5,2025-12-10 09:58:47,Bagus dan sangat rekomendasi
Pribadi Eko,5,2025-12-10 09:58:19,istimewah
Agus hariyanto,5,2025-12-10 09:58:05,membantu sekali
Yogi Nata,5,2025-12-10 09:57:20,lebih praktis
Hena Yudi permana,5,2025-12-10 09:56:28,Terimakasih pln pelayan cepat maksimal
M. Farhan Fauzan,5,2025-12-10 09:55:35,Terimakasih pln mobile
Dani Juliyanto,5,2025-12-10 09:54:40,baikkk
Suwardi,5,2025-12-10 09:54:16,ok bgt
Roy Abm channel,5,2025-12-10 09:53:47,dengan ada nya pln mobile bagus bisa membatu dan mempermudah untuk pembayaran dan pemesenan kwh
Ari Kurniawan,1,2025-12-10 09:53:37,"VOUCHER PENUKARAN SELALU CEPAT HABIS STOK, KENAPA GAK SEHARUSNYA DI STOK BANYAK KRN SEMUA KEPUTUSAN ADA DI PLN, PLN KAN PUNYA PEMERINTAH"
Suparmo Sbw,5,2025-12-10 09:51:55,Terima kasih kami diberikan kemudahan bayar listrik cukup dari rumah tidak takut telat bayar infonya banyak
Ali Fajar,5,2025-12-10 09:50:44,tambah efisien mudah dan cepat
Chibi Marukochan,5,2025-12-10 09:50:38,"PLN luar biasa! Petugasnya responsif, komunikatif, dan sangat membantu. Sukses selalu!"
el ciput,5,2025-12-10 09:49:32,sangat baik sekali
alex Bessi,5,2025-12-10 09:49:23,sangat cepat dan memudakan
ila dila,5,2025-12-10 09:48:47,mempermudah..
Aan Esfres,5,2025-12-10 09:47:49,membantu pengaduannoleh oelanggan yg lbh baik dan efektif
Adith Nugroz,5,2025-12-10 09:47:30,PLN nih bisa aja nyentuh hati pelanggan pake aplikasi PLN Mobile... Good Jobs PLN...
Ira Irawansyah,5,2025-12-10 09:47:02,semakin mudah transaksi dengan aplikasi pln mobile
Muhammad Taufik Yulianto,5,2025-12-10 09:46:11,"aplikasinya sangat bagus, Respon petugasnya sangat cepat👍👍👍🎉"
Rahul Ulin,5,2025-12-10 09:45:59,apk sangat membantu
heru nizar,5,2025-12-10 09:45:58,sangat mempermudah sekali
15 Habibur Rahman,5,2025-12-10 09:45:14,ok
Kafa Latif,5,2025-12-10 09:44:51,sangat baik
Dany Suwito,5,2025-12-10 09:44:19,memper muda
adi Setyo,5,2025-12-10 09:44:15,lebih mudah melakukan pembayaran rekening listrik🔥
Hilmy Rusydi Firdaus,5,2025-12-10 09:43:32,aplikasi yang sangat membantu dan mudah dipakai
Djefri Lomi,5,2025-12-10 09:42:47,cepat respon dan tanggap dalam menangani gangguan
dian apriansah,5,2025-12-10 09:42:30,Aplikasi sangat memudahkan dalam membuat laporan gangguan
Elderitu De Carvalho,5,2025-12-10 09:42:29,aplikasi ini sangat memudahkan kita saat pasang baru dan tambah daya listrik....
M Zaidan Maulana,5,2025-12-10 09:41:12,"sangat membantu,dan mempermudah pekerjaan,semoga makin sukses buat ke depannya menyala PLN MOBILE"
garda terdepan TNI,5,2025-12-10 09:41:02,mempermudah untuk mendapatkan informasi
Edy Sutoyo,5,2025-12-10 09:40:41,aplikasi yang sangat membantu untuk gangguan listrik
Juar Jumena,5,2025-12-10 09:40:15,"Dulu mau bayar tagihan listrik//beli token harus keluar rumah Sekaran ada PLN Mobile Tinggal buka Terima kasih PLN, Aflikasiny sangat membantu kami"
bilqis naisha,5,2025-12-10 09:40:09,aplikasi yang bagus
Dimas Hidayat,5,2025-12-10 09:39:57,makasih PLN selalu responsif kalo ada laporan
Cupapi munyanyo,5,2025-12-10 09:38:40,semakin lengkap
meriana tuwongkesong,5,2025-12-10 09:37:46,baik
Fadlillah Riyanto,5,2025-12-10 09:37:28,makin mudah dengan aplikasi ini
Riki Barr,5,2025-12-10 09:36:58,Mantappp
Daryono 72,4,2025-12-10 09:36:53,"Sangat membantu apk ini selain mudah cek tagihan,bayarnya juga pleksibel bisa di lakukan di mana aja dan kapan saja,pokonya lebih efisien"
Ledi Ledi,5,2025-12-10 09:36:35,PLN Mobile terbaik
Widad Subkhan,5,2025-12-10 09:36:06,Sangat membantu sekali mantap
Hamzah Ibanez,5,2025-12-10 09:35:41,bagus
Freni Nurika,5,2025-12-10 09:35:01,dengan PLN MOBILE pelayanan lebih cepat dan mudah
Aceng Budiono,5,2025-12-10 09:35:00,pln mobile mudah cepat dan tanggap dapat d nikmati pelanggan sehingga merasa pelayanan puas
Muhamad Sofyan,5,2025-12-10 09:34:29,sangat terbantu dengan adanya aplikasi pln mobile ini
Muhamad Salman,5,2025-12-10 09:33:10,dengan aplikasi ini sangat memudahkan untuk pengaduan mengenai kelistrikan
Transaksi energi Pedan,5,2025-12-10 09:33:02,sangat mudah dan cepat 👍
Rezaldi Adji Saputera,5,2025-12-10 09:33:01,bayar listrik tambah mudah dan cepat banyak promonya
Adhi Wiryawan,5,2025-12-10 09:32:42,oke
Irma nur Khodizah,5,2025-12-10 09:31:58,keren dan praktis
Visnu Dwi Widagdo,5,2025-12-10 09:31:16,aplikasi PLN Mobile sangat membantu
dedi prasetyo,5,2025-12-10 09:30:45,aplikasi pln mobile sangat bagus.mudah digunakan.dan gampang cara pemakaiannya.👍
Faruk Santoso,5,2025-12-10 09:30:11,PLN mobile jos
Yudi Ruswandi,5,2025-12-10 09:30:02,Sangat membantu dan memudahkan saat mau membayar tagihan listrik maupun pembelian token.
Fahruddin,5,2025-12-10 09:29:56,sangat membantu
